Game Date,Location,Player 1,Side,Faction,ID,Archtype or Deckname,,Player 2,Side,Faction,ID,Archtype or Deckname,,Winner,Winner Tomthord (S/K/M),Player 1 Score,Player 2 Score,Winning Side,,Notes,Was it fun,What Could I of done better?,Why did a loose,,
10/01/2017,Jinteki,Tom,Corp,Wayland,Gagarin Deep Space: Expanding the Horizon,SIBRB (v7.0),,funkmj,Runner,Shaper,"Ele ""Smoke"" Scovak: Cynosure of the Net",Temujin Smoke,,funkmj,S,3,8,Runner,,Temi makes asset trashing easy,"Yes, but I did get picked apart after a while",,,,Gagarin Deep Space: Expanding the Horizon-SIBRB (v7.0)-FALSE-S
10/01/2017,Home,Tom,Corp,Wayland,Blue Sun: Powering the Future,Silver Sun (1.5),,Zoe,Runner,Shaper,"Ele ""Smoke"" Scovak: Cynosure of the Net",,,Tom,S,7,4,Corp,,,yes,,,,Blue Sun: Powering the Future-Silver Sun (1.5)-Tom-S
10/01/2017,Home,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Pitch Stealth,,Zoe,Corp,Jinteki,Nisei Division: The Next Generation,Servant Psi,,Zoe,K,6,3,Corp,,,yes,,,,Hayley Kaplan: Universal Scholar-Pitch Stealth-FALSE-K
11/01/2017,Jinteki,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.1),,PTD,Corp,Wayland,Weyland Consortium: Builder of Nations,,,PTD,K,6,2,Corp,,"Was silly, finished turn with fewer then 3 cards. Sea Souce Scorch will work when players are on equral (or just below) and runner is on fewer then 3 cards.",Yes. Temejin seemed good,,,,Hayley Kaplan: Universal Scholar-Temi Fork (v0.1)-FALSE-K
11/01/2017,Jinteki,Tom,Corp,Wayland,Blue Sun: Powering the Future,Silver Sun (1.5),,AJW920,Corp,Haas-Bioroid,Whizzard: Master Gamer,Temi with Reg Breakers,,Tom,K,2,6,Corp,,"I should of lost, he just wiffed on last access with 4 tags. Need to learn how to deal with high money runners",,,,,Blue Sun: Powering the Future-Silver Sun (1.5)-Tom-K
11/01/2017,Jinteki,Tom,Corp,Wayland,Blue Sun: Powering the Future,Silver Sun (1.5),,seriousigg,Runner,Criminal,Andromeda: Dispossessed Ristie,Takeshi's Castle,,seriousigg,S,7,4,Runner,,Got close but he got his Femme out to get past the last pice of ice. My saving grace was hitting his Passport and Gordian Blad early,Yes,,,,Blue Sun: Powering the Future-Silver Sun (1.5)-FALSE-S
11/01/2017,Home,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.1),,Zoe,Corp,Jinteki,Nisei Division: The Next Generation,Servant Psi,,Tom,S,7,1,Runner,,Need to rember combos. Scesity of resouces hurts. Artist Colony Temi is fun,,,,,Hayley Kaplan: Universal Scholar-Temi Fork (v0.1)-Tom-S
11/01/2017,Home,Tom,Corp,Jinteki,Jinteki: Potential Unleashed,Potatos,,Zoe,Runner,Shaper,"Ele ""Smoke"" Scovak: Cynosure of the Net",,,Tom,K,1,2,Corp,,,,,,,Jinteki: Potential Unleashed-Potatos-Tom-K
11/01/2017,Home,Tom,Corp,Jinteki,Jinteki: Potential Unleashed,Potatos,,Zoe,Runner,Shaper,"Ele ""Smoke"" Scovak: Cynosure of the Net",,,Tom,K,2,4,Corp,,,,,,,Jinteki: Potential Unleashed-Potatos-Tom-K
12/01/2017,Home,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.1),,Bill,Corp,Haas-Bioroid,Haas-Bioroid: Engineering the Future,,,Tom,S,7,2,Runner,,,,,,,Hayley Kaplan: Universal Scholar-Temi Fork (v0.1)-Tom-S
12/01/2017,Jinteki,Tom,Corp,Wayland,Blue Sun: Powering the Future,Silver Sun (1.5),,munchli21 ,Runner,Shaper,Chaos Theory: Wünderkind,Hyperdrive Faust,,Tom,K,0,6,Corp,,Player was an ass. Moned at me for killing him,No Oppent was rude,,,,Blue Sun: Powering the Future-Silver Sun (1.5)-Tom-K
12/01/2017,Jinteki,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.1),,eldest,Corp,NBN,Spark Agency: Worldswide Reach,Asset Spam,,eldest,S,4,7,Corp,,"Nice player. Fun game, I need to remmber about HHN and not being over egressive on low board state",Yes,,,,Hayley Kaplan: Universal Scholar-Temi Fork (v0.1)-FALSE-S
12/01/2017,Jinteki,Tom,Corp,Wayland,Gagarin Deep Space: Expanding the Horizon,SIBRB v7.0,,-CodeMarvelous-,Runner,Shaper,"Ele ""Smoke"" Scovak: Cynosure of the Net",Tem,,-CodeMarvelous-,S,5,7,Runner,,Fun  but could not defend against lots of money,,,,,Gagarin Deep Space: Expanding the Horizon-SIBRB v7.0-FALSE-S
13/01/2017,Jinteki,Tom,Runner,Shaper,Exile: Streethawk,Fatal Exile (v0.2),,rustryder,Corp,Haas-Bioroid,Haas-Bioroid: Engineering the Future,Sandvich?,,Tom,S,8,0,Runner,,Oponente was greedy with Jackson and once I was at 4 I popped Rummer Mill and ran archives,Yes,,,,Exile: Streethawk-Fatal Exile (v0.2)-Tom-S
13/01/2017,Jinteki,Tom,Runner,Shaper,Exile: Streethawk,Fatal Exile (v0.3),,Tarmuyi,Corp,Wayland,Gagarin Deep Space: Expanding the Horizon,Hot Tubs with Kill,,Tarmuyi,K,0,0,Corp,,I should of hit sports hopper at the end of my turn,Yes,,,,Exile: Streethawk-Fatal Exile (v0.3)-FALSE-K
13/01/2017,Jinteki,Tom,Runner,Criminal,Andromeda: Dispossessed Ristie,Takeshi's Castle 2.0,,Greg,Corp,NBN,Spark Agency: Worldswide Reach,Kill,,Tom,S,7,0,Runner,,,,,,,Andromeda: Dispossessed Ristie-Takeshi's Castle 2.0-Tom-S
13/01/2017,Jinteki,Tom,Runner,Criminal,Andromeda: Dispossessed Ristie,Takeshi's Castle 2.0,,Greg,Corp,Wayland,Argus Security: Protection Guaranteed,Fast or Kill,,Tom,S,8,0,Runner,,,,,,,Andromeda: Dispossessed Ristie-Takeshi's Castle 2.0-Tom-S
